Name,UV_wave,UV_Energy,CPFAS,CED,pH,Temp,nF,H_C,F_C,EB3LYP,ELUMO,f_min,f_zmax,EA,S,ESP_Average_Negative_surface_area,ESP_Overall_average_value,ESP_Positive_average_value,Kobs,Electron_donor,Air_condition
1,254.13692,9.392135,45.729996,10.941624,8.846768,23.973879,10.374506,0.16956069,1.9902632,-1611.0962,-0.99722075,0.015564858,0.1556331,-1.243914,0.08160874,93.12312,1.5838145,9.059576,0.6854483,I-,A
2,256.70193,12.690892,23.65285,10.145056,12.05643,24.696476,7.8623104,0.26118475,1.7935926,-1179.471,-1.1430616,0.019574108,0.19351172,-1.3435948,0.08073388,98.83134,1.3137462,12.042872,0.6206873,SO32-,S
3,254.95235,10.2339525,59.18354,12.131278,9.302554,23.508759,11.25214,0.17216636,1.8646069,-1572.8334,-1.2090105,0.01698136,0.16446722,-0.8462688,0.08463428,133.59439,0.8923961,11.010066,0.63023734,SO32-,S
4,254.05237,14.967145,26.493742,9.95825,10.603414,22.353685,7.8476934,0.21608743,1.9154309,-1196.0083,-1.0876038,0.021265881,0.17852035,-1.2288831,0.08023733,89.33852,1.3812519,11.139728,0.6215162,SO32-,S
5,253.36377,13.838842,26.94263,9.548269,12.24665,23.789438,7.9194975,0.22850531,1.7687614,-1222.258,-1.2292045,0.020064387,0.20721823,-1.2907753,0.08135239,106.49762,1.0599623,12.4591255,3.0112374,SO32-,S
6,254.74489,15.351028,26.337702,9.82704,11.704227,22.702274,11.829721,0.14874431,1.8188294,-1717.1465,-1.2627354,0.013572657,0.18840742,-1.0110645,0.0850143,144.07487,0.76721936,10.81927,4.058442,SO32-,S
7,255.48427,13.219436,18.997868,9.893273,11.801721,24.0025,12.8889475,0.21520871,1.9101644,-1889.4791,-0.94101137,0.012785153,0.13466573,-0.99079216,0.08400582,135.30582,1.1885729,9.9192705,0.14970487,SO32-,S
8,253.42723,9.807781,33.666714,9.284389,11.612587,25.502079,10.927657,0.23105396,1.9119962,-1649.6835,-0.8883854,0.010712836,0.17487213,-1.8402925,0.079951055,130.7114,0.9090347,10.815902,0.0431022,SO32-,S
9,257.12473,11.15992,25.390938,9.666067,11.888356,25.253363,12.578598,0.1664366,1.8994025,-1774.2524,-1.139244,0.011166769,0.17440675,-1.383676,0.082574144,145.21884,0.80179965,10.655636,0.06614894,SO32-,S
10,246.52466,10.275743,43.669033,8.993259,12.220112,25.499643,9.2273445,0.22622806,1.8339721,-1381.843,-1.0952994,0.015655525,0.19308119,-1.5119057,0.08040801,122.796364,0.8458794,11.943091,0.54631144,SO32-,S
11,254.4668,12.453074,24.462404,9.93875,11.780656,24.183731,14.106302,0.2058787,1.9994146,-2147.8496,-0.7258471,0.011954075,0.11323427,-1.0188024,0.083089,132.00293,1.3962386,8.860016,0.043742117,SO32-,S
12,254.19777,14.135533,21.505804,9.633934,11.690199,23.242496,11.129594,0.36081743,1.7450708,-1647.2015,-0.6815192,0.016478317,0.1498931,-1.4148463,0.0821718,136.56232,1.2772015,11.824902,0.722091,SO32-,S
13,255.5074,10.844225,31.506319,10.492678,11.330894,25.283878,9.483069,0.3710318,1.7176285,-1475.7655,-0.78560334,0.016634544,0.15684095,-1.1976335,0.08207212,113.39617,1.628426,11.442988,0.06703836,SO32-,S
14,256.10336,11.965119,21.56607,9.809677,12.356024,25.187336,14.29219,0.2418219,1.9514371,-2204.98,-0.6100269,0.010629651,0.12632228,-1.369821,0.08213612,141.71007,1.3165045,9.363342,0.49460882,SO32-,S
15,255.82718,13.512932,21.211128,9.823652,11.566857,23.726618,13.377456,0.14686553,1.8952578,-1852.371,-1.2202379,0.012163598,0.15515143,-0.89506036,0.08521996,147.62144,0.9170539,10.031322,0.41189778,SO32-,S
16,251.94026,11.830744,32.264297,9.061048,11.60075,24.588594,10.381951,0.19279249,1.8577069,-1443.4451,-1.1561376,0.015380972,0.1878345,-1.2634819,0.08165948,137.4009,0.6457598,11.97532,0.34603173,SO32-,S
