Name,Kobs(h-1),UV wave,UV Energy,cPFAS,cED,pH,Temp,Time(h),nAcid,nBase,nAtom,nHeavyAtom,nH,nC,nN,nO,nS,nF,nX,#H:C,#O:C,#F:C,DBE,HybRatio,nAtomP,nRing,MW(g/mol),ClogP,HBDC,HBAC,RBC,TPSA(Å2),CPLX,E(B3LYP),E(EE)(a.u),μ(Debye),α(a.u),EHOMO(eV),ELUMO,EGAP(eV),ELUMO+ EHOMO(eV),qH+(e),qC-(e),qF-(e),f-min,f-max(e),f+min(e),f+max,f0min(e),f 0max(e),IP(eV),EA,ζ(eV),CI(eV),η(eV),S,EI,NI,Volume(Å3),ESP-min(kcal/mol),ESP-max(kcal/mol),SAG(Å2),ESP-Positive surface area(Å2),ESPneg,ESPmean,ESPposav,ESP-Negative average value(kcal/mol),MPI(kcal/mol),Nonpolar surface area(Å2),Nonpolar surface area(%), Polar surface area(Å2), Polar surface area(%),I-,SO32-,water_Milli-Q water,Air A,oxygen condition_S
PFOS,-0.209923693,-5.139988596,-1.285978172,0.005109615,3.302493636,-0.664236854,0.668856054,-0.863263122,0,0,1.103162634,1.242036879,-0.446795356,0.842134649,0,0.465633074,1.5612495,1.349046101,1.33722101,-0.855347062,-0.510943251,1.31320543,-1.455035554,1.082117472,1.153915828,0,1.325701306,1.016201287,0,1.292791178,0.991158291,1.165436657,1.534097018,-1.477298522,-1.477298522,0.823597139,1.203144649,-1.290311734,0.457281326,0.969380087,-0.524593149,0.542168486,0.356250087,0.951677701,-0.235306355,-1.591455295,-0.157945336,-1.836478459,-0.243512918,-1.678340478,-0.012394331,0.508607729,0.295910849,-0.279787738,-0.791204675,0.761029792,0.514522489,-1.410431894,1.211663051,1.283283548,1.582864962,1.209608131,2.080830478,-0.476589943,0.473037672,-1.541700967,-0.185892497,-0.728908679,1.134410499,0.472711017,0.665771928,-0.472711017,0,1,1,0,0
Cl-PFHpA,3.925015753,0.196004598,0.498061226,-0.352031193,-0.036424562,0.584755521,0.668856054,-0.85172918,0,0,0.148741029,0.237448227,-0.446795356,0.383546474,0,-0.753882119,-0.640512615,0.178737969,0.403288876,-0.746336558,-0.963453287,-0.403821905,0.496841409,0.097153285,-0.659380473,0,0.325476367,0.660660124,0,0.030598608,0.581280802,-0.807674052,0.158089708,-0.611622797,-0.611622797,-0.786867128,0.432751173,0.412041098,-0.431102639,-0.502955715,-0.123241974,0.594759786,0.331504248,0.558054587,-0.397720583,0.014270798,-0.253568465,0.567584417,-0.35777553,-0.00149756,-0.095422875,0.683098761,0.360176377,-0.315271459,-1.158592258,1.156941244,0.70947797,0.332502444,0.34443974,0.184003754,-0.282765541,0.28172533,-0.330381265,0.797724167,-0.942747013,-0.434814465,0.79157215,-0.83872297,0.549466144,1.018075742,-0.9227113,-1.018075742,0,1,1,0,1
HFPO-DA,-0.519121174,0.196004598,-0.533336551,-0.352031193,-0.036424562,0.584755521,0.668856054,-0.038586278,0,0,-0.123950858,-0.049577102,-0.446795356,-0.075041701,0,0.465633074,-0.640512615,-0.055323657,-0.063677191,-0.60098922,0.122570799,0.093867177,0.496841409,-0.067007414,-0.659380473,0,-0.096454334,0.020686031,0,0.030598608,-0.238474175,-0.095806659,-0.225555453,0.210726037,0.210726037,-0.404517643,-0.095343261,-0.088558933,-0.370474123,-0.206094745,-0.445878794,0.794606723,0.223859852,0.135629782,-0.030151541,0.872478924,-0.128522835,0.642897186,-0.063957384,0.62634724,0.423850951,0.141405719,0.284269403,6.128795261,0.299653838,-0.338724243,0.239773283,-0.180091966,-0.131456762,0.212970018,0.041837167,-0.0816558,-0.583182654,0.525786945,-0.649575001,-0.041629088,0.823526024,-0.702566511,0.181580929,0.900647313,-1.020613736,-0.900647313,0,1,1,0,1
PFOA,-0.572653872,0.196004598,-1.285978172,-0.38130503,-0.036424562,-2.537725415,0.668856054,-0.782525529,0,0,0.55777886,0.667986221,-0.446795356,0.842134649,0,-0.753882119,-0.640512615,0.880922849,0.870254943,-0.855347062,-1.144457301,0.268058356,0.496841409,0.220273809,-0.659380473,0,0.606094566,0.945093054,0,0.661694893,0.581280802,-0.807674052,0.526389062,-0.418870186,-0.418870186,-0.317314058,0.484659659,0.38498044,-0.730475346,-0.692229554,-0.449368897,0.678905865,0.356250087,0.529252896,-0.235306355,-0.273236112,-0.231501589,-0.330223071,-0.284320993,-0.374474668,-0.273287349,0.620029713,0.238653945,-0.248173776,-1.278356027,1.288911728,0.550321836,0.304733371,0.532890677,0.413786151,-0.107608655,0.563866567,-0.425625528,1.333910546,-0.919263469,-0.193787673,1.00846491,-1.019124628,0.830012938,1.081306435,-0.828050667,-1.081306435,1,0,1,1,0
HFPO-DA,0.208185139,0.172804628,-1.285978172,3.599936768,3.302493636,-0.664236854,0.668856054,-0.592215488,0,0,-0.123950858,-0.049577102,-0.446795356,-0.075041701,0,0.465633074,-0.640512615,-0.055323657,-0.063677191,-0.60098922,0.122570799,0.093867177,0.496841409,-0.067007414,-0.659380473,0,-0.096454334,0.020686031,0,0.030598608,-0.238474175,-0.095806659,-0.225555453,0.210726037,0.210726037,-0.404517643,-0.095343261,-0.088558933,-0.370474123,-0.206094745,-0.445878794,0.794606723,0.223859852,0.135629782,-0.030151541,0.872478924,-0.128522835,0.642897186,-0.063957384,0.62634724,0.423850951,0.141405719,0.284269403,6.128795261,0.299653838,-0.338724243,0.239773283,-0.180091966,-0.131456762,0.212970018,0.041837167,-0.0816558,-0.583182654,0.525786945,-0.649575001,-0.041629088,0.823526024,-0.702566511,0.181580929,0.900647313,-1.020613736,-0.900647313,0,1,0,0,1
PFOA,1.409901916,0.196004598,1.501583388,-0.352031193,-0.036424562,0.584755521,-1.495090003,-0.592215488,0,0,0.55777886,0.667986221,-0.446795356,0.842134649,0,-0.753882119,-0.640512615,0.880922849,0.870254943,-0.855347062,-1.144457301,0.268058356,0.496841409,0.220273809,-0.659380473,0,0.606094566,0.945093054,0,0.661694893,0.581280802,-0.807674052,0.526389062,-0.418870186,-0.418870186,-0.317314058,0.484659659,0.38498044,-0.730475346,-0.692229554,-0.449368897,0.678905865,0.356250087,0.529252896,-0.235306355,-0.273236112,-0.231501589,-0.330223071,-0.284320993,-0.374474668,-0.273287349,0.620029713,0.238653945,-0.248173776,-1.278356027,1.288911728,0.550321836,0.304733371,0.532890677,0.413786151,-0.107608655,0.563866567,-0.425625528,1.333910546,-0.919263469,-0.193787673,1.00846491,-1.019124628,0.830012938,1.081306435,-0.828050667,-1.081306435,0,1,1,0,1
H-PFPrA,-0.417593643,0.196004598,-0.421834088,-0.352031193,-0.036424562,0.584755521,0.668856054,-0.453808186,0,0,-1.487410293,-1.628216413,0.345906082,-1.450806227,0,-0.753882119,-0.640512615,-1.693755042,-1.698058425,2.451304877,0.967256199,-1.99642697,0.496841409,-1.216132293,-0.659380473,0,-1.635088268,-1.614803317,0,-1.652324819,-1.058229153,-0.807674052,-1.565755882,1.607018439,1.607018439,-2.050975213,-1.248057817,0.904006515,0.046146087,-0.430505221,0.741368251,0.415949368,0.33274154,-0.930032794,2.662505394,1.428804795,1.438225354,1.170086572,2.376365547,1.134528551,0.302636815,-0.316395479,-0.044542027,-0.091809283,0.850658832,-0.844611099,-0.325252557,0.836312759,-1.554270533,-1.436005397,-0.9339717,-1.564556953,-1.246824672,-0.994256757,-0.517714961,2.73077811,6.204273586,2.41043582,-1.74381086,-2.138942419,0.184688436,2.138942419,0,1,1,0,1
PFOS,-0.496046735,0.196004598,1.501583388,-0.352031193,-0.036424562,0.584755521,0.668856054,-0.038586278,0,0,1.103162634,1.242036879,-0.446795356,0.842134649,0,0.465633074,1.5612495,1.349046101,1.33722101,-0.855347062,-0.510943251,1.31320543,-1.455035554,1.082117472,1.153915828,0,1.325701306,1.016201287,0,1.292791178,0.991158291,1.165436657,1.534097018,-1.477298522,-1.477298522,0.823597139,1.203144649,-1.290311734,0.457281326,0.969380087,-0.524593149,0.542168486,0.356250087,0.951677701,-0.235306355,-1.591455295,-0.157945336,-1.836478459,-0.243512918,-1.678340478,-0.012394331,0.508607729,0.295910849,-0.279787738,-0.791204675,0.761029792,0.514522489,-1.410431894,1.211663051,1.283283548,1.582864962,1.209608131,2.080830478,-0.476589943,0.473037672,-1.541700967,-0.185892497,-0.728908679,1.134410499,0.472711017,0.665771928,-0.472711017,0,1,1,0,1
NBP1,1.19300219,0.196004598,-1.29991598,-0.352031193,-0.036424562,0.584755521,0.668856054,-0.799826442,0,0,0.694124804,0.811498885,-0.446795356,0.383546474,0,2.90466346,1.5612495,0.412799596,0.403288876,-0.746336558,1.208594885,0.193404994,0.496841409,-0.887810902,1.153915828,0,0.857446862,0.091794264,0,0.872060321,0.991158291,2.589171443,1.176028201,-1.025847778,-1.025847778,1.408732502,0.994819197,3.577108557,1.306324379,-0.941139399,4.079696055,-0.541212281,-0.355192764,0.106828091,-1.731226874,-0.612494266,-0.180012212,-1.487661422,-0.578139139,-1.317795939,-1.076692137,-0.019069969,-0.520415794,0.170940783,-1.280341905,1.288911728,-0.553850797,3.57326655,0.880535331,0.641668599,0.896662833,0.795686053,1.928345617,-0.93740332,1.530328982,-0.968514361,-1.121728282,0.191188503,0.33961371,-0.569466294,1.974163419,0.569466294,0,1,1,0,1
PFHpA,-0.371444765,0.196004598,1.501583388,-0.352031193,-0.036424562,-0.976484947,-1.495090003,-0.038586278,0,0,0.148741029,0.237448227,-0.446795356,0.383546474,0,-0.753882119,-0.640512615,0.412799596,0.403288876,-0.746336558,-0.963453287,0.193404994,0.496841409,0.097153285,-0.659380473,0,0.187926624,0.518443659,0,0.240964036,0.171403313,-0.807674052,0.10693702,-0.044910387,-0.044910387,-0.529682279,-2.369088374,0.264026661,-0.57968658,-0.528143593,-0.388468519,0.668387605,0.340165292,0.423646695,-0.201113886,0.296027569,-0.503659725,0.270297169,-0.423068451,0.169450282,0.168359185,0.25102573,0.228556773,-0.2425987,-0.178331918,0.123172452,0.266514964,0.180905976,0.115255955,0.236692847,-0.158589253,0.060844356,-0.38411436,0.521006013,-0.720817478,-0.373724905,0.767133907,-0.757852915,0.312331178,0.910809388,-0.931139986,-0.910809388,0,1,1,0,1
