Name,UV wave,UV Energy,cPFAS,cED,pH,Temp,nF,#H:C,#F:C,E(B3LYP),ELUMO,f-min,f+max,EA,S,ESPneg,ESPmean,ESPposav,I-,SO32-,Air A,Kobs(h-1)
1,-0.176017635,-1.988555048,1.800166871,1.526771312,-3.622785139,0.010402245,-0.395475744,-0.950850029,1.299023275,0.10306032,-0.054588884,0.058514286,-0.222332987,-0.262911564,-0.59185188,-1.983271778,1.608002538,-1.564087394,1,0,0,-0.117372337
2,1.290897027,0.062091558,-0.72079252,0.182673548,0.901486947,0.746347746,-1.606420503,0.354378714,-0.494414458,1.580775904,-0.738664527,1.271617889,1.353128739,-0.689652129,-1.04476499,-1.67682587,0.741640188,0.788844205,0,1,1,-0.188569217
3,0.290322154,-1.465245754,3.336408833,3.534147054,-2.980318774,-0.463309895,0.027567068,-0.913731008,0.153164413,0.234057157,-1.048001973,0.487114069,0.145099035,1.439435703,0.974463563,0.189429185,-0.61002479,-0.025731979,0,1,1,-0.178070104
4,-0.2243713,1.477106513,-0.396394912,-0.132535608,-1.146653863,-1.639721523,-1.613466284,-0.28805427,0.61662809,1.524158668,-0.478536242,1.783508123,0.729602073,-0.198563216,-1.301827839,-2.186448107,0.958194285,0.076532703,0,1,1,-0.187657942
5,-0.618177733,0.775705738,-0.345136999,-0.824321551,1.169617061,-0.177445925,-1.578854808,-0.111155605,-0.720849986,1.434289979,-1.142723195,1.419964642,1.923215028,-0.463528108,-0.724563715,-1.26526147,-0.072482817,1.117144184,0,1,1,2.439551229
6,0.171676957,1.715744391,-0.414212908,-0.353934242,0.405029002,-1.284693055,0.305976395,-1.247389361,-0.264280268,-0.260014359,-1.300001982,-0.544278309,1.140828785,0.733933639,1.171199086,0.752073969,-1.011584006,-0.176213171,0,1,1,3.590825917
7,0.594524183,0.39065682,-1.252338608,-0.242175262,0.542454495,0.039551959,0.816551598,-0.300572059,0.568602916,-0.850013665,0.209064734,-0.782558423,-1.09441568,0.820720962,0.649111195,0.281307339,0.340092008,-0.8860446,0,1,1,-0.706357384
8,-0.581885319,-1.730171949,0.422677043,-1.269582367,0.275855184,1.566832612,-0.128842324,-0.074848862,0.585307086,-0.029047477,0.455910142,-1.409592061,0.577863942,-2.816050164,-1.450031781,0.034655807,-0.556649194,-0.178869519,0,1,1,-0.823554115
9,1.532693947,-0.889625266,-0.522322606,-0.625553802,0.66457337,1.313522093,0.666954926,-0.995354192,0.47046523,-0.455522588,-0.720757835,-1.272242742,0.558507683,-0.861242585,-0.09206434,0.813488022,-0.900652581,-0.305271638,0,1,1,-0.798217014
10,-4.529425928,-1.439267015,1.564828298,-1.76082377,1.132209654,1.564351612,-0.948437945,-0.143596125,-0.126194099,0.887933461,-0.514632936,0.085947961,1.335221974,-1.410203014,-1.213467176,-0.390263063,-0.759247478,0.710146728,0,1,1,-0.270336471
11,0.012638865,-0.08574615,-0.628350646,-0.165439147,0.512761714,0.224130831,1.403348682,-0.433482533,1.382474823,-1.734573034,1.21830622,-1.034022689,-1.985800978,0.700807141,0.174475485,0.103991622,1.006270689,-1.72148077,0,1,1,-0.822850603
12,-0.141217866,0.960141388,-0.965960794,-0.679773772,0.385255428,-0.734491559,-0.031503347,1.773694095,-0.93688439,-0.020550082,1.426229012,0.334905233,-0.461073213,-0.994684847,-0.300356949,0.348762568,0.624407058,0.616930825,0,1,1,-0.077088124
13,0.607752099,-1.085874605,0.175984465,0.769237348,-0.121213347,1.344600795,-0.825171968,1.919202702,-1.187130519,0.566379618,0.938015833,0.382175804,-0.172095638,-0.064781465,-0.351961068,-0.894912671,1.751113463,0.315714479,0,1,1,-0.797239204
14,0.948578241,-0.389079577,-0.959079101,-0.383231891,1.323788352,1.246275379,1.492951617,0.078545615,0.944968359,-1.930165141,1.761568123,-1.434761862,-1.441439572,-0.801928349,-0.318828407,0.625119632,0.750488643,-1.324506534,0,1,1,-0.327177243
15,0.790632466,0.573106324,-0.999609447,-0.359651021,0.211395137,-0.241426396,1.052025622,-1.274153484,0.432669742,-0.722970069,-1.100664796,-0.970626018,-0.242366786,1.230555579,1.277668818,0.942471652,-0.530924098,-0.797669355,0,1,1,-0.418108019
16,-1.432275023,-0.47261275,0.262536946,-1.646439256,0.259169998,0.636472846,-0.391887057,-0.61990188,0.090243365,0.677032005,-0.799998324,0.00287476,1.116999682,-0.34668313,-0.565583893,0.393781752,-1.401218738,0.735565806,0,1,1,-0.490519768
17,0.306569672,0.701346761,0.765247089,1.428413353,-0.346485212,-0.812706208,-0.892431772,-0.194932705,-0.948267629,1.292172578,-1.344178639,1.284407482,1.369012451,0.210352683,0.349084604,0.370780942,-1.721073891,1.844841291,0,1,1,0.739768022
18,0.854026952,0.359927181,-0.949395904,0.053180404,0.641306859,0.18099952,-0.151021808,0.445310606,-1.055308187,0.312046268,-0.721073041,-0.39921012,-0.072833774,0.884213352,1.296779633,0.26900488,-0.08507237,0.324985671,0,1,1,0.154863188
