Name,UV wave(nm),UV Energy(mW/cm2),PFAS concentration(μM),Electron donor concentration(mM),pH,Temp(℃),Time(h),nAcid,nBase,nAtom,nHeavyAtom,nH,nC,nN,nO,nS,nF,nX,#H:C,#O:C,#F:C,DBE,HybRatio,nAtomP,nRing,MW(g/mol),ClogP,HBDC,HBAC,RBC,TPSA(Å2),CPLX,E(B3LYP)(a.u),E(EE)(a.u),μ(Debye),α(a.u),EHOMO(eV),ELUMO(eV),EGAP(eV),ELUMO+ EHOMO(eV),qH+(e),qC-(e),qF-(e),f-min(e),f-max(e),f+min(e),f+max(e),f0min(e),f 0max(e),IP(eV),EA(eV),ζ(eV),CI(eV),η(eV),S(eV-1),EI,NI,Volume(Å3),ESP-min(kcal/mol),ESP-max(kcal/mol),SAG(Å2),ESP-Positive surface area(Å2),ESP-Average Negative surface area(Å2),ESP- Overall average value(kcal/mol),ESP-Positive average value(kcal/mol),ESP-Negative average value(kcal/mol),MPI(kcal/mol),Nonpolar surface area(Å2),Nonpolar surface area(%), Polar surface area(Å2), Polar surface area(%),electron donor_I-,electron donor_SO32-,water_Milli-Q water,oxygen condition_A,oxygen condition_S,Kobs(h-1)
PFBS,0.19600459848839574,1.5015833876061029,-0.35203119318909465,-0.03642456215979095,-0.9764849470430743,-1.4950900031928034,0.7918575364279622,0.0,0.0,-0.5329886884224037,-0.4801150962044853,-0.4467953564767357,-0.992218052123042,0.0,0.4656330736664175,1.5612494995995998,-0.5234469100420501,-0.5306432578250183,-0.09227353729624603,1.3895988993621293,1.835778966633006,-1.4550355540247364,1.0821174715326731,1.1539158284426272,0.0,-0.34688684506404127,-0.9037209917036128,0.0,-0.39013224889884945,-0.6483516638676782,1.1654366570573378,-0.20509437787865278,0.018545992097256426,0.018545992097256426,0.5266523877795399,-0.23689477353030844,-1.8709341536050537,1.0128721896232373,1.6429098247573044,-0.4038551528426998,0.5421684863249886,0.34263987557675374,0.9900799561793322,0.18355139046128424,-0.7044964773875297,-0.03289970588684357,-0.7781358576865203,0.01765876733214943,-1.0520497491567788,0.9269210224295882,-0.19316056179977686,0.3237077685346676,-0.2951355952290818,1.421980893452739,-1.3504979543945594,0.059051277907501476,-2.0049167320400447,-0.4143749455191957,1.342967425459585,1.4902377312252593,-0.4865402413720872,-0.07371690266162037,-0.659309805749887,-0.4264281502906252,-0.4479802566180228,-0.5287055737123353,0.3489551855745219,-0.5945127399772606,-0.4746202552986917,0.25471136992194576,0.47462025529869045,0.0,1.0,1.0,0.0,1.0,-0.6108189942702905
PFPrA,0.19600459848839574,0.16355383912663737,-0.35203119318909465,-0.03642456215979095,0.5847555206130031,0.6688560540599391,-0.6614191392727207,0.0,0.0,-1.4874102932718238,-1.4847037485888708,-0.4467953564767357,-1.4508062274740277,0.0,-0.7538821192694377,-0.6405126152203485,-1.4596934158083188,-1.46457539159705,0.4164421456496479,0.9672561993033799,-0.6028975384486291,0.4968414086913733,-1.2161322930906624,-0.6593804733957873,0.0,-1.4846615276162414,-1.4014786194659745,0.0,-1.441959390537904,-1.468106641171639,-0.8076740521687841,-1.4327588926610828,1.450934455906078,1.450934455906078,-0.429758537133118,-1.2436055129806343,0.20965073474349633,-0.4208641659171615,-0.3926187849587561,-0.26824064717874657,0.657869344958718,0.49235219728664115,0.039624144931719965,1.1152961709993037,1.8385021412746247,1.1954897191971345,1.3147663658215423,1.143961658517144,1.4111532396634106,0.7327271822983416,-0.1420045565474944,0.2621744156816434,-0.2611604243793945,1.1077537596375269,-1.0865569861089786,0.03791672359664942,0.12536783130020504,-1.4962264743803413,0.09803901624535505,-0.13275660904169007,-1.4992060540347414,-1.277889313305863,-0.8600237591896753,-0.257800468501271,1.6478766013463693,0.03571332548548356,0.8058340762793978,-1.3407500529717766,-0.3605791843966525,-1.0711858546798443,0.3605791843966521,0.0,1.0,1.0,0.0,1.0,-0.3622149898286671
82FTSA,0.19600459848839574,-0.3660828571464839,-0.35203119318909465,-0.03642456215979095,0.5847555206130031,0.6688560540599391,0.7918575364279622,0.0,0.0,1.9212382954761056,1.5290622085642855,2.724010399164614,1.7593109999828724,0.0,0.4656330736664175,1.5612494995995998,1.349046101490487,1.3372210097190456,1.433873511541436,-0.8910516809551168,-0.4635445953011076,-1.4550355540247364,1.0821174715326731,1.1539158284426272,0.0,1.5602466126893626,1.2295259844207949,0.0,1.2927911777236376,1.8109132680442044,1.1654366570573378,1.7029008888457073,-1.6010174378862676,-1.6010174378862676,-0.5036396348488901,1.822725831537729,-0.07176571604749768,1.5282781402918637,1.073461047504349,1.5036410990573466,-0.22566448460792998,-2.569945292233783,-0.39240122381719345,-0.5943272795291723,-0.96900283455759,-0.3712584696824303,-1.9157550587221526,-0.5210078327998043,-1.527595562771276,-0.46496897918382485,0.12809114241661188,-0.1438506809431374,-0.036976768077790635,-0.7609582131196375,0.7170396305091689,-0.13935474215356225,-0.1628071355682484,1.80363194488183,-1.3026162302614215,-0.018857067871531064,1.8481283605528644,1.9356543964372814,0.6584019997845796,1.5226468966657192,-0.5053863810578978,0.2918650147537709,-0.13108110338602122,1.2277545085860324,-0.3831615746742842,2.9266049946573873,0.3831615746742834,0.0,1.0,1.0,0.0,1.0,-0.5800376928107467
H-PFHpA,0.19600459848839574,-0.44970970392645065,-0.35203119318909465,-0.03642456215979095,0.5847555206130031,0.6688560540599391,-0.6614191392727207,0.0,0.0,0.14874102932718225,0.09393556230087782,0.3459060824336017,0.38354647392991514,0.0,-0.7538821192694377,-0.6405126152203485,0.1787379692826513,0.16980584250400566,0.1257474696805656,-0.9634532866794738,-0.4038219053807412,0.4968414086913733,0.0971532847241727,-0.6593804733957873,0.0,0.03749988350893286,0.3051189614335517,0.0,0.030598607756772315,0.581280802088263,-0.8076740521687841,-0.06698211996562939,0.11117325411714041,0.11117325411714041,-3.0619478989806663,0.10253764394145323,0.596545080121718,-0.28250619438707936,-0.49639861028251603,0.1700222955881485,0.563205006076576,0.3451144594066693,-0.5460102438168078,-0.08144024437062944,-0.01447989346563359,-0.23150158898425313,0.11570780027004816,0.04214361279269293,-0.06055226848341552,-0.1577256849011437,0.13159497839279566,0.0035680273398791423,-0.1183728820246277,-0.3926540713459479,0.3431232587712617,-0.009959511678955155,0.5215021515382563,0.057413489671693116,-0.4306138725657736,-0.5296868795691515,0.010221051001601063,-0.816518281831088,0.9259729728609378,-1.415384356960766,1.6609890618278669,0.14304556955081862,0.4746531414425414,0.00982108765361667,0.1746234651832113,0.0050925770262540936,-0.1746234651832125,0.0,1.0,1.0,0.0,1.0,-0.426823418679284
PFHxS,0.19600459848839574,-1.2859781717261165,-0.34910380951425335,-0.03642456215979095,-2.537725414699152,0.6688560540599391,-0.7825255289144443,0.0,0.0,0.28508697287709944,0.3809608915535594,-0.4467953564767357,-0.07504170142107057,0.0,0.4656330736664175,1.5612494995995998,0.4127995957242184,0.4032888759470136,-0.6009892202421401,0.12257079918588153,1.4873966087642003,-1.4550355540247364,1.0821174715326731,1.1539158284426272,0.0,0.48944903903143167,0.09179426382111107,0.0,0.4513294644123941,0.17140331343628265,1.1654366570573378,0.6440402448458613,-0.7293774485996186,-0.7293774485996186,0.422384135184829,0.47661410257124653,-1.420052339364467,0.5707756244601722,1.1126538153656318,-0.5084795876231443,-1.5614834888336913,1.3658802892468105,-4.357434052557231,-1.671390053362112,0.6510986031090287,-1.3642678851694783,0.6448791011002117,-1.6065026482172267,-0.10717440707307214,-4.6636257063681965,-4.742040645280142,-5.018646435826439,2.654604479332659,1.5643531290948274,-1.4604733578468858,-3.9013054094853024,0.9131027456505502,0.3980052036896183,1.2544021982933795,1.443762008785575,0.3477076905712523,0.7378503509840588,-0.292765784649931,-0.21071519486454648,-1.1005669354512504,-0.08339583171193966,-0.3969189934268419,0.2804157628875446,0.15655755296110657,0.36363593409461115,-0.15655755296110738,1.0,0.0,1.0,1.0,0.0,-0.5781917377007291
PFHpA,0.19600459848839574,-0.19882916358655084,-0.35203119318909465,-0.03642456215979095,0.5847555206130031,0.6688560540599391,-0.038586278258142294,0.0,0.0,0.14874102932718225,0.2374482269272186,-0.4467953564767357,0.38354647392991514,0.0,-0.7538821192694377,-0.6405126152203485,0.4127995957242184,0.4032888759470136,-0.7463365582266812,-0.9634532866794738,0.19340499382292528,0.4968414086913733,0.0971532847241727,-0.6593804733957873,0.0,0.1879266237096684,0.5184436590459923,0.0,0.2409640360845832,0.17140331343628265,-0.8076740521687841,0.1069370196285482,-0.044910387290922,-0.044910387290922,-0.5296822792030493,-2.36908837369016,0.2640266608802451,-0.5796865801575913,-0.5281435929517757,-0.38846851888345607,0.6683876048345102,0.3401652917468382,0.4236466949307553,-0.20111388590762277,0.2960275692992197,-0.5036597250807033,0.2702971690518937,-0.42306845095763096,0.1694502818922237,0.1683591850734466,0.25102573038100123,0.22855677309977812,-0.2425986997646036,-0.1783319183353782,0.12317245186660934,0.2665149641017881,0.18090597634073313,0.11525595501496019,0.23669284683885314,-0.15858925278243066,0.06084435577797951,-0.3841143602842328,0.5210060126029541,-0.7208174778551767,-0.373724904894575,0.7671339067081953,-0.7578529152199499,0.312331177975376,0.9108093882339947,-0.9311399864578461,-0.9108093882339964,0.0,1.0,1.0,0.0,1.0,-0.509891398630077
FTMeUPA,0.19600459848839574,-0.6169633974863837,-0.35203119318909465,-0.03642456215979095,0.5847555206130031,0.6688560540599391,-0.8344282673323258,0.0,0.0,-0.5329886884224037,-0.7671404254571669,1.138607521343939,-0.07504170142107057,0.0,-0.7538821192694377,-0.6405126152203485,-0.9915701629251844,-0.9976093247110343,1.433873511541436,-0.7221146009316172,-2.6931916856614593,2.4487183714074825,-2.3652571788497045,2.9672121302810415,0.0,-0.8487552690133545,-0.7615045266286522,0.0,-1.0212285338822822,-1.0582291525196585,-0.8076740521687841,-0.854733516951022,0.9551980537589206,0.9551980537589206,-1.1267462239789925,-0.19925454822466962,1.7216601499132682,-2.3168843632535316,-2.45130791422981,-1.0408116365005604,-0.5096575012543527,-2.221028972215698,0.1548309099314311,-0.32933564469725846,0.9759814113722548,0.09950154951142948,-0.06464646330877157,-0.1374119205846251,0.30310041251590586,-0.2727849071263836,1.2709423282484267,0.6250786492067174,-0.4615352254330512,-2.271142678310296,2.4766460857463874,1.4841240828678401,1.6733519453634913,-0.6029997908085085,-1.8107411769177737,-1.986832703494134,-0.5741105826202147,-0.20646279822050004,-0.6447615977821226,0.8787108690309448,-0.23426279470294234,0.31657509191713223,-0.06118192839087719,-0.5569349125351363,-0.11894760842599635,-0.24582293687149284,0.11894760842599594,0.0,1.0,1.0,0.0,1.0,0.3300181764279415
TFA,0.19600459848839574,0.16355383912663737,-0.35203119318909465,-0.03642456215979095,0.5847555206130031,0.6688560540599391,-0.038586278258142294,0.0,0.0,-1.8964481239215754,-1.9152417424678931,-0.4467953564767357,-1.9093944028250136,0.0,-0.7538821192694377,-0.6405126152203485,-1.927816668691453,-1.9315414584830661,1.433873511541436,2.6566269995383776,-1.2996622541862395,0.4968414086913733,-2.3652571788497045,-0.6593804733957873,0.0,-1.902829469663978,-1.8992362472283364,0.0,-1.8626902471935256,-1.8779841298236195,-0.8076740521687841,-1.758089989078427,1.824905639086188,1.824905639086188,1.206030053978369,-1.585531204454412,0.5278805288503954,-0.22484939841282392,-0.4222077553998772,0.17609277860894978,-1.7087391270948,0.679183276445261,-0.01797923756813427,3.346354773938965,-0.6915586664389941,3.100596671872286,1.7468238324169565,3.2659815984309026,2.076295750209178,0.8883585975134876,-0.43102096978299276,0.1642912443478745,-0.20711497885788396,1.738041146181799,-1.6144389226801437,-0.21483529326374995,0.4512293965890168,-1.9115084695723654,-1.8157139488409964,-0.3793174727661647,-1.9430980553571044,-1.0788833673550104,-1.7584149454700888,1.708789732955481,1.7606693606508776,-1.9613157523830607,2.900312747623294,-2.0633081870301595,-2.708018653756438,-0.15829426923274376,2.7080186537564366,0.0,1.0,1.0,0.0,1.0,-0.42220853090423993
C7 HFPO-TA,-5.147721919123863,-1.2859781717261165,1.8435065629418634,-3.0414509403425374,0.5847555206130031,0.6688560540599391,-0.5922154880488787,0.0,0.0,0.4214329164270166,0.5244735561799002,-0.4467953564767357,0.38354647392991514,0.0,1.6851482666022728,-0.6405126152203485,0.4127995957242184,0.4032888759470136,-0.7463365582266812,0.4845788278076665,0.19340499382292528,0.4968414086913733,0.0971532847241727,-0.6593804733957873,0.0,0.4555005918265964,0.589551891583473,0.0,0.661694892740205,0.17140331343628265,0.623798423152128,0.26039508397635197,-0.28155792915975847,-0.28155792915975847,-0.5153403072224182,0.3594926089683798,-0.05308506145552566,-0.3403859735965699,-0.20380300980019417,-0.3879456411442717,0.7840884634682366,0.09765607641511966,0.1548309099314311,-0.5857791622765299,-1.4764525306501506,-1.195088503271685,0.5755120766468195,-0.7576946722517235,0.47715639658395687,0.30967100276274373,0.15482040543492773,0.23829757413056624,-0.24797700866358913,0.1403252528549612,-0.18475867779990332,0.2091497452580458,-0.14382215741663942,0.40778341473304364,0.13667485359973874,-0.003245712943080114,0.4470863668240498,-0.262438470301816,0.9739850522156641,-0.6901955039614133,-0.4013186700238869,0.9239896785250143,-0.9381239675412386,0.6812459222702046,0.9729109614974808,-0.7437638016608205,-0.9729109614974828,0.0,1.0,1.0,0.0,1.0,-0.4812790944248038
PFHxA,0.19600459848839574,1.5015833876061029,-0.35203119318909465,-0.03642456215979095,-0.9764849470430743,-1.4950900031928034,-0.038586278258142294,0.0,0.0,-0.26029680132256927,-0.19308976695180374,-0.4467953564767357,-0.07504170142107057,0.0,-0.7538821192694377,-0.6405126152203485,-0.055323657158915865,-0.06367719093900233,-0.6009892202421401,-0.7221146009316172,0.0938671772889804,0.4968414086913733,-0.06700741422636915,-0.6593804733957873,0.0,-0.23024131833806807,0.020686031283630755,0.0,-0.17976682057103857,-0.23847417521569778,-0.8076740521687841,-0.3022844852989285,0.3290514683082256,0.3290514683082256,-0.3589175793349194,-0.2144552132282995,0.38340849749266903,-0.6885690855272705,-0.662998269930935,-0.4078341249067524,0.6683876048345102,0.35501279472633124,0.5292528961804903,0.08952210068221832,0.20690042720930799,0.02594529651238906,0.19498439964535363,0.01765876733214943,0.09174671757612934,0.01624486398745723,0.4001890333671088,0.2450686187495284,-0.25171558923971304,-0.5907836739508747,0.5410789849854482,0.3881464807479192,0.3033165817361825,-0.27824174442215455,0.37390314065207747,-0.11705140254651275,-0.25915903628311543,-0.7965721386064285,0.49319009579254103,-0.911581383922037,0.353216677965106,0.7258649383561856,-0.5169757869865934,-0.030845328345394742,0.7335376245545889,-0.9447555569794294,-0.7335376245545898,0.0,1.0,1.0,0.0,1.0,-0.348370326503535
