Name,Kobs,UV_wave,UV_Energy,CPFAS,Electron_donor,CED,pH,Temp,Time,water,Air_condition,nAcid,nBase,nAtom,nHeavyAtom,nH,nC,nN,nO,nS,nF,nX,H_C,O_C,F_C,DBE,HybRatio,nAtomP,nRing,MW,ClogP,HBDC,HBAC,RBC,TPSA,CPLX,EB3LYP,EEE,μ,α,EHOMO,ELUMO,EGAP,ELUMO_EHOMO,qH,qC,qF,f_min,f_max,f_zmin,f_zmax,f_0min,f_0max,IP,EA,ζ,CI,η,S,EI,NI,Volume,ESP_min,ESP_max,SAG,ESP_Positive_surface_area,ESP_Average_Negative_surface_area,ESP_Overall_average_value,ESP_Positive_average_value,ESP_Negative_average_value,MPI,Nonpolar_surface_area,Nonpolar_surface_area_1,Polar_surface_area,Polar_surface_area_1
8:2FTSA,0.068,254,11.3,25,SO32-,10,12,25,48,Milli-Q water,S,1,0,36,31,5,10,0,3,1,17,17,0.5,0.3,1.7,0,1,4,0,528.18,5.3,1,20,9,62.8,760,-2705.180153,-2705.180153,2.063278,135.429,-8.641007,-0.224531,8.416475,-8.865538,0.1946,-0.0605,-0.105,0.0095,0.1256,0.0116,0.0674,0.0108,0.0865,10.3327,-1.2925,4.5201,-4.5201,11.6252,0.086,0.8788,0.4802,363.8444,-28.35067,64.80412,345.98856,196.16571,149.82286,2.69375,9.25761,-5.90044,7.80386,245.49,70.95,100.5,29.05
6:2FTSA,0.03,254,12.3,25,SO32-,10,12,25,48,Milli-Q water,S,1,0,30,25,5,8,0,3,1,13,13,0.625,0.375,1.625,0,1,4,0,428.17,3.9,1,16,7,62.8,585,-2229.609542,-2229.609542,2.081486,112.936667,-8.640611,0.042413,8.683024,-8.598198,0.1946,-0.0605,-0.1043,0.0115,0.1416,0.0153,0.092,0.0137,0.1007,10.4908,-1.6017,4.4445,-4.4445,12.0925,0.0827,0.8168,0.4806,303.5471,-28.36951,64.71108,294.03013,164.21081,129.81932,2.91474,10.53258,-6.72121,8.84979,195.37,66.45,98.66,33.55
4:2FTSA,0.0053,254,11.3,25,SO32-,10,12,25,48,Milli-Q water,S,1,0,24,19,5,6,0,3,1,9,9,0.833333333,0.5,1.5,0,1,4,0,328.15,2.6,1,12,5,62.8,418,-1754.038934,-1754.038934,2.177445,90.495,-8.636218,0.335809,8.972026,-8.300409,0.1945,-0.0606,-0.1052,0.0144,0.1662,0.0192,0.1381,0.0168,0.1218,10.7021,-2.0123,4.3449,-4.3449,12.7145,0.0787,0.7424,0.485,243.28234,-28.44017,64.71562,242.06968,136.41801,105.65167,3.22844,12.05747,-8.17166,10.3615,145.69,60.18,96.38,39.82
NBP1,3.91,254,7.95,25,SO32-,10,12,25,2,Milli-Q water,S,1,0,27,26,1,7,0,5,1,13,13,0.142857143,0.714285714,1.857142857,1,0.714285714,4,0,444.13,3.7,1,18,7,81.2,657,-2339.45497,-2339.45497,3.003065,109.086,-7.322536,-0.331037,6.991499,-7.653573,0.1916,0.1185,-0.0998,-0.0038,0.1504,0.0142,0.089,0.0101,0.1,9.8457,-1.4395,4.2031,-4.2031,11.2852,0.0886,0.7827,1.7987,295.1593,-24.68713,69.09631,279.53809,195.8281,83.70999,2.70025,7.95502,-9.59259,8.44541,193.73,69.3,85.81,30.7
6:2H-PFESA,0.044,254,12.9,25,SO32-,10,12,25,72,Milli-Q water,S,1,0,31,29,2,8,0,4,1,16,16,0.25,0.5,2,0,1,4,0,498.14,4.8,1,20,9,72,707,-2602.499291,-2602.499291,4.490013,119.055,-9.192581,-0.335353,8.857229,-9.527934,0.1924,0.1751,-0.1062,0.0114,0.0854,0.0177,0.0755,0.019,0.0804,10.6624,-1.2101,4.7261,-4.7261,11.8725,0.0842,0.9407,-0.0714,327.35248,-24.52895,70.12045,317.87801,186.35506,131.52295,2.23874,8.67191,-6.87644,7.92903,232.25,73.06,85.63,26.94
NBP2,0.015,254,8.03,25,SO32-,10,12,25,144,Milli-Q water,S,1,0,29,27,2,7,0,5,1,14,14,0.285714286,0.714285714,2,0,1,4,0,464.13,4.2,1,19,7,81.2,632,-2439.95809,-2439.95809,2.699282,111.338667,-9.307416,-0.26269,9.044726,-9.570106,0.2018,0.1453,-0.1106,0.005,0.1247,0.0075,0.0915,0.0125,0.1021,11.2327,-1.5949,4.8189,-4.8189,12.8276,0.078,0.9051,-0.1862,308.26588,-23.86997,72.00884,303.9848,160.44568,143.53912,2.08879,9.57899,-6.28363,8.02295,224.18,73.75,79.81,26.25
7:3FTCA,0.15,254,11.3,25,SO32-,10,12,25,48,Milli-Q water,S,1,0,32,27,5,10,0,2,0,15,15,0.5,0.2,1.5,1,0.9,3,0,442.12,5.2,1,17,8,37.3,561,-2032.165494,-2032.165494,2.340944,113.823667,-7.936454,-0.108821,7.827633,-8.045275,0.1894,-0.0586,-0.1093,0.009,0.202,0.0079,0.1021,0.0085,0.1506,10.1154,-1.536,4.2897,-4.2897,11.6514,0.0858,0.0858,1.1847,313.43607,-27.03395,54.43276,304.2397,110.97688,193.26281,1.06498,11.04005,-4.66298,6.98913,234.18,76.97,70.06,23.03
6:3FTCA,0.045,254,12,25,SO32-,10,12,25,60,Milli-Q water,S,1,0,29,24,5,9,0,2,0,13,13,0.555555556,0.222222222,1.444444444,1,0.888888889,3,0,392.11,4.5,1,15,7,37.3,478,-1794.380187,-1794.380187,2.317076,102.607667,-7.935082,-0.106723,7.828358,-8.041805,0.1893,-0.0586,-0.1093,0.0102,0.212,0.0091,0.1152,0.0097,0.162,10.1937,-1.7203,4.2367,-4.2367,11.914,0.0839,0.7533,1.1861,283.29952,-27.04954,54.3663,278.25542,103.74187,174.51355,1.14424,11.50809,-5.01668,7.43687,209.03,75.12,69.23,24.88
5:3FTCA,0.014,254,10.2,25,SO32-,10,12,25,72,Milli-Q water,S,1,0,26,21,5,8,0,2,0,11,11,0.625,0.25,1.375,1,0.875,3,0,342.11,3.9,1,13,6,37.3,398,-1556.594877,-1556.594877,2.293221,91.417,-7.932868,-0.104143,7.828725,-8.037011,0.1893,-0.0586,-0.1094,0.0117,0.2251,0.0104,0.133,0.011,0.1772,10.287,-1.9357,4.1757,-4.1757,12.2228,0.0818,0.7133,1.1883,253.13331,-27.09416,54.35103,252.28748,97.17697,155.1105,1.25916,11.95331,-5.44074,7.94928,183.92,72.9,68.36,27.1
6:2Cl-PFESA,9.06,254,14.4,25,SO32-,10,12,25,0.333333333,Milli-Q water,S,1,0,31,30,1,8,0,4,1,16,17,0.125,0.5,2,0,1,4,0,532.58,5.3,1,20,9,72,756,-3062.092313,-3062.092313,2.656442,128.347,-9.247275,-0.50675,8.740525,-9.754025,0.2022,0.1757,-0.0926,0.0095,0.1673,0.0107,0.1769,0.0122,0.1721,10.7377,-0.9169,4.9104,-4.9104,11.6547,0.0858,1.0344,-0.1261,348.40152,-23.51658,71.84469,332.18669,202.24848,129.93821,1.59847,6.37352,-5.83388,6.16243,265.35,79.88,66.84,20.12
